temperature,humidity,distance_km,product_type,category,category_label,initial_shelf_life,packaging_quality,spoilage_days,spoilage_risk
11.4,80.7,179.5,milk,fragile,2,3,2,0.5,1
5.7,93.0,249.9,apple,hardy,0,16,2,10.4,0
15.6,64.1,130.2,potato,hardy,0,25,1,20.5,0
8.2,70.2,115.4,berries,fragile,2,3,1,4.3,0
28.8,59.3,5.0,apple,hardy,0,26,1,18.9,0
13.1,45.7,205.3,tomato,normal,1,12,1,10.9,0
36.8,46.8,199.1,leafy_vegetables,fragile,2,2,2,0.5,1
20.7,55.7,278.1,carrot,normal,1,12,3,4.5,0
23.2,92.5,253.5,banana,normal,1,6,1,0.5,1
9.9,82.1,23.3,potato,hardy,0,23,3,30.0,0
33.5,75.9,219.0,apple,hardy,0,25,1,8.1,0
34.8,59.2,29.5,apple,hardy,0,21,3,15.1,0
30.5,71.4,266.3,tomato,normal,1,7,1,0.5,1
24.6,80.1,148.6,potato,hardy,0,29,1,18.3,0
5.9,37.0,10.4,berries,fragile,2,1,3,13.6,0
13.7,56.7,226.9,tomato,normal,1,11,1,2.9,1
10.6,90.4,242.6,leafy_vegetables,fragile,2,5,1,0.5,1
23.9,82.5,268.9,carrot,normal,1,5,3,0.5,1
27.7,30.0,106.4,potato,hardy,0,21,3,19.6,0
29.2,47.5,74.0,tomato,normal,1,10,3,5.3,0
7.3,46.5,74.8,potato,hardy,0,16,3,23.1,0
26.3,62.7,16.4,apple,hardy,0,30,1,27.1,0
13.4,39.4,147.3,potato,hardy,0,30,2,30.3,0
30.5,53.9,190.1,milk,fragile,2,3,2,0.5,1
10.3,63.0,209.0,milk,fragile,2,4,3,2.1,0
33.3,52.7,29.8,banana,normal,1,5,1,0.5,1
34.3,73.9,220.8,berries,fragile,2,2,2,0.5,1
23.1,47.0,298.9,tomato,normal,1,9,2,0.5,1
11.6,48.1,210.4,apple,hardy,0,18,3,18.8,0
10.7,88.4,182.3,milk,fragile,2,1,3,0.5,0
5.2,40.5,165.1,milk,fragile,2,3,2,6.0,0
22.3,41.6,110.6,potato,hardy,0,17,3,17.8,0
24.0,63.1,191.3,potato,hardy,0,28,2,20.5,0
36.7,58.2,105.7,berries,fragile,2,4,1,0.5,1
11.8,77.0,85.0,milk,fragile,2,1,3,0.8,0
31.2,91.9,99.9,banana,normal,1,9,2,0.5,1
39.3,34.9,92.4,leafy_vegetables,fragile,2,1,3,0.5,0
37.8,75.2,171.4,onion,hardy,0,30,2,14.0,0
17.6,46.5,89.3,berries,fragile,2,1,2,2.7,0
19.7,46.7,183.8,banana,normal,1,11,2,9.8,0
11.8,34.6,119.6,potato,hardy,0,26,2,27.5,0
16.5,40.1,294.6,berries,fragile,2,2,2,0.5,1
13.8,32.5,91.7,carrot,normal,1,9,3,17.0,0
8.0,33.4,159.9,apple,hardy,0,17,3,23.0,0
38.9,76.4,13.3,milk,fragile,2,3,3,0.5,1
38.7,84.3,209.1,onion,hardy,0,15,1,0.5,1
10.5,46.3,165.2,carrot,normal,1,12,1,12.3,0
28.0,58.3,219.3,apple,hardy,0,26,3,17.8,0
31.5,30.9,35.7,banana,normal,1,5,1,2.3,0
20.2,55.9,185.1,onion,hardy,0,18,1,12.3,0
5.5,90.7,150.8,banana,normal,1,8,1,7.5,0
35.4,71.4,240.5,tomato,normal,1,7,2,0.5,1
33.4,83.3,188.2,potato,hardy,0,15,1,0.5,1
12.5,54.5,12.6,potato,hardy,0,17,2,23.7,0
28.0,55.1,204.8,milk,fragile,2,2,2,0.5,1
17.2,90.9,12.7,tomato,normal,1,9,1,4.7,0
24.2,57.5,171.0,potato,hardy,0,15,3,8.9,0
25.3,86.4,169.0,apple,hardy,0,21,1,10.0,0
31.4,36.7,270.9,apple,hardy,0,18,2,5.0,1
18.6,30.7,271.7,leafy_vegetables,fragile,2,4,1,0.5,1
38.3,67.3,189.9,banana,normal,1,9,1,0.5,1
31.3,81.5,237.1,milk,fragile,2,5,1,0.5,1
7.0,65.7,133.0,carrot,normal,1,15,3,20.4,0
34.3,57.7,67.6,potato,hardy,0,16,1,7.6,0
10.1,63.4,70.7,berries,fragile,2,1,1,2.8,0
25.7,52.8,212.7,milk,fragile,2,5,3,0.5,1
19.8,88.9,34.2,banana,normal,1,6,3,4.3,0
27.7,78.5,175.4,apple,hardy,0,23,2,12.2,0
7.9,64.3,131.5,milk,fragile,2,4,2,6.4,0
6.5,90.1,275.8,milk,fragile,2,3,3,0.5,1
10.8,44.1,89.1,onion,hardy,0,19,1,20.8,0
37.0,92.3,18.3,milk,fragile,2,4,2,0.5,1
11.6,60.1,106.7,onion,hardy,0,26,2,25.1,0
9.7,35.0,282.2,potato,hardy,0,30,3,30.4,0
37.2,35.4,263.1,apple,hardy,0,27,3,13.4,0
21.8,94.0,113.6,tomato,normal,1,13,2,4.4,0
34.5,84.5,141.1,banana,normal,1,5,3,0.5,1
37.0,68.0,218.1,onion,hardy,0,24,2,10.9,0
13.4,43.3,76.2,milk,fragile,2,5,1,7.9,0
9.0,73.7,156.6,banana,normal,1,7,2,6.5,0
34.8,65.9,168.7,berries,fragile,2,3,2,0.5,1
31.4,70.3,211.5,leafy_vegetables,fragile,2,4,3,0.5,1
26.3,71.4,166.9,carrot,normal,1,6,3,0.5,1
26.8,86.1,284.9,berries,fragile,2,1,2,0.5,0
14.0,59.8,294.0,tomato,normal,1,6,1,0.5,1
23.8,59.9,175.8,leafy_vegetables,fragile,2,4,3,0.5,1
35.6,63.5,292.0,apple,hardy,0,24,1,5.6,1
11.2,35.8,37.1,carrot,normal,1,14,1,19.0,0
9.5,51.5,97.2,carrot,normal,1,13,2,20.2,0
37.2,34.0,83.8,banana,normal,1,12,1,2.8,1
11.5,43.6,111.8,apple,hardy,0,28,2,29.2,0
7.2,39.6,40.8,tomato,normal,1,11,3,23.4,0
23.6,37.0,134.8,banana,normal,1,7,3,4.4,0
24.7,84.6,27.7,onion,hardy,0,26,2,20.7,0
17.0,60.8,107.2,potato,hardy,0,27,1,28.5,0
24.5,68.1,169.8,carrot,normal,1,13,2,4.2,0
36.5,69.5,74.1,onion,hardy,0,27,3,19.1,0
12.9,53.7,146.9,onion,hardy,0,25,2,25.0,0
33.2,33.6,252.9,carrot,normal,1,7,3,0.5,1
39.1,61.9,217.1,berries,fragile,2,1,2,0.5,0
23.7,61.0,251.7,banana,normal,1,10,1,0.5,1
26.4,48.8,174.8,milk,fragile,2,4,3,0.5,1
25.8,54.0,136.8,apple,hardy,0,21,1,11.6,0
9.9,30.2,35.9,tomato,normal,1,12,3,22.5,0
32.8,36.9,255.4,banana,normal,1,9,2,0.5,1
37.4,76.9,15.4,leafy_vegetables,fragile,2,3,1,0.5,1
12.1,40.6,50.1,potato,hardy,0,17,1,21.8,0
25.6,74.4,136.1,potato,hardy,0,30,2,25.4,0
15.5,78.6,151.3,milk,fragile,2,1,1,0.5,0
36.7,70.6,36.0,tomato,normal,1,7,2,0.5,1
16.7,39.1,238.4,leafy_vegetables,fragile,2,1,1,0.5,0
31.3,76.0,233.8,onion,hardy,0,28,1,12.0,0
31.7,87.0,103.3,carrot,normal,1,8,2,0.7,1
23.9,61.6,123.3,milk,fragile,2,2,1,0.5,1
25.9,66.8,215.1,leafy_vegetables,fragile,2,5,3,0.5,1
